Time,Manipulability,Error
33.4715,33.8525,1.5125
33.5716,33.6589,1.50762
33.6734,33.3844,1.5007
33.7756,33.0155,1.49244
33.8784,32.5006,1.48294
33.9784,31.8492,1.47301
34.0785,30.9877,1.46265
34.1805,29.9172,1.45191
34.2815,28.6933,1.44167
34.3835,27.3415,1.43229
34.4862,25.8603,1.42439
34.5864,24.2645,1.41857
34.6874,22.5501,1.41511
34.7875,20.7336,1.41426
34.8878,18.8527,1.41619
34.9878,16.9493,1.42097
35.0874,15.0709,1.42861
35.1875,13.3,1.43908
35.2876,12.2045,1.45267
35.3874,11.7613,1.46866
35.4875,11.8458,1.48538
35.5885,12.286,1.5023
35.6896,13.1607,1.51849
35.7906,14.5216,1.53354
35.8905,16.2566,1.5467
35.9904,18.2569,1.55805
36.0905,20.3803,1.56766
36.1914,22.978,1.57629
36.2915,25.8739,1.58317
36.3934,29.0682,1.58832
36.4935,32.3609,1.59162
36.5935,35.6282,1.59313
36.6957,38.9554,1.59331
36.7957,42.3836,1.5926
36.8955,45.5676,1.5901
36.9955,48.3468,1.58584
37.0956,51.4179,1.58132
37.1957,54.165,1.57541
37.2956,56.7571,1.56851
37.3956,58.8545,1.56001
37.4956,60.5435,1.55014
37.5955,61.2111,1.53798
37.6956,62.4161,1.53228
37.7956,63.4466,1.53185
37.8956,63.4926,1.53578
37.9955,62.4046,1.54331
38.0975,60.43,1.55365
38.1975,58.1119,1.56447
38.3001,56.1421,1.73205
38.4035,56.0707,1.73205
38.5056,54.9604,1.73205
38.6056,50.4612,1.73205
38.7065,43.7099,1.72586
38.8065,36.5045,1.69896
38.9065,30.9163,1.67995
39.0066,27.4135,1.66904
39.1075,25.7926,1.66516
39.2075,25.1085,1.66508
39.3075,24.8417,1.66667
39.4075,24.8299,1.66946
39.5075,25.0159,1.67351
39.6074,25.2803,1.67862
39.7075,25.6258,1.68557
39.8085,26.2284,1.69403
39.9085,26.9643,1.70533
40.0085,27.8311,1.71985
40.1086,29.2481,1.73205
40.2085,31.0243,1.73205
40.309,32.6464,1.70345
40.4179,34.4451,1.66389
40.5186,36.2431,1.63447
40.6186,37.638,1.61404
40.7185,38.9439,1.60039
40.8186,39.9241,1.56399
40.9185,40.6837,1.51697
41.0187,40.0997,1.47515
41.1187,37.8672,1.43787
41.2186,33.6852,1.40805
41.3185,28.3938,1.38814
41.4235,24.5069,1.38172
41.5235,22.7344,1.38164
41.6236,21.5525,1.38451
41.7237,20.5219,1.38836
41.8235,19.6709,1.3921
41.9236,18.9037,1.39497
42.0236,18.2208,1.39659
42.1245,17.5388,1.39715
42.2245,17.1801,1.39707
42.3245,17.1519,1.39685
42.4246,17.1244,1.39649
42.5245,17.0936,1.3961
42.6246,17.0468,1.39565
42.7256,16.975,1.39516
42.8266,16.8467,1.39468
42.9266,16.7003,1.39425
43.0265,16.6195,1.39397
43.1285,16.5839,1.39384
43.2287,16.5738,1.39381
43.3327,16.5754,1.70712
43.4395,16.4597,1.70416
43.5415,16.2587,1.69672
43.6415,15.9708,1.67221
43.7415,15.6228,1.64307
43.8415,15.2465,1.61044
43.9425,14.8847,1.57593
44.0426,14.5983,1.54226
44.1426,14.4091,1.51095
44.2467,14.2814,1.48153
44.3465,14.2005,1.45636
44.4481,14.0176,1.43961
44.5476,13.9247,1.42758
44.6507,13.7916,1.42447
44.7526,13.8304,1.42756
44.8525,14.1932,1.43334
44.9527,14.6356,1.43439
45.0526,15.2627,1.43269
45.1526,15.8846,1.43313
45.2526,16.3292,1.4358
45.3528,16.6513,1.43937
45.4546,17.1756,1.43991
45.5556,17.4971,1.44047
45.6556,17.6149,1.44072
45.7576,17.6569,1.4408
45.8576,17.661,1.44077
45.9585,17.6609,1.44073
46.0586,17.6604,1.44069
46.1587,17.6601,1.44067
46.2606,17.6599,1.44066
46.362,17.6601,1.44066
46.4616,17.6602,1.44066
46.5617,17.6601,1.44066
46.6616,17.6602,1.44066
46.7619,17.6598,1.44066
46.8616,17.6604,1.44066
46.9616,17.6603,1.44066
47.0617,17.6605,1.44066
47.1618,17.661,1.44066
47.2616,17.6606,1.44066
47.3636,17.6609,1.44066
47.4636,17.6608,1.44067
47.5636,17.6604,1.44066
47.6646,17.6608,1.44067
47.7647,17.6609,1.44067
47.8647,17.6607,1.44067
47.9646,17.6607,1.44067
48.0646,17.6613,1.44067
48.1657,17.6608,1.44067
48.2661,17.6608,1.44067
48.3726,17.7736,1.63013
48.4726,18.4357,1.6268
48.5726,19.7955,1.61728
48.6726,21.7321,1.59704
48.7736,24.0691,1.57156
48.8746,26.5772,1.54184
48.9746,28.8661,1.50875
49.0756,30.6682,1.47231
49.1757,31.7479,1.43423
49.2767,32.0878,1.39443
49.3767,31.731,1.3552
49.4767,31.0538,1.31576
49.5777,30.1967,1.27651
49.6776,28.1191,1.24821
49.7777,25.1778,1.24515
49.8776,22.8122,1.26318
49.9777,21.3377,1.25266
50.0776,20.7138,1.2468
50.18,20.7043,1.24728
50.2836,21.1546,1.2534
50.3858,21.8008,1.26289
50.4856,22.4805,1.27343
50.5856,23.1111,1.28341
50.6856,23.6294,1.29168
50.7857,23.9948,1.29757
50.8856,24.1755,1.30045
50.9858,24.1552,1.30027
51.0896,23.6774,1.29495
51.1897,22.8604,1.28576
51.2899,21.7177,1.27313
51.3907,20.3006,1.25726
51.4947,18.593,1.23851
51.5956,16.7411,1.21897
51.6957,14.8324,1.20028
51.7958,12.9315,1.18606
51.8956,11.1018,1.17924
51.9957,9.41218,1.17816
52.0976,7.93797,1.17834
52.198,6.84249,1.17286
52.2976,5.9943,1.15984
52.3977,5.29925,1.14657
52.4977,4.85444,1.13587
52.5988,4.58839,1.12897
52.6987,4.42551,1.12376
52.7987,4.33567,1.12212
52.9018,4.31225,1.12182
53.0017,4.32603,1.12169
53.1038,4.33791,1.12143
53.2051,4.3419,1.12105
53.3057,4.34559,1.41496
53.4089,4.29859,1.41031
53.5121,4.11389,1.37699
53.6116,4.59066,1.36136
53.7116,5.85876,1.34816
53.8154,7.67122,1.32789
53.9158,9.87976,1.30505
54.0167,12.6981,1.28352
54.1177,16.0676,1.26192
54.2177,19.929,1.24126
54.3227,24.1781,1.22148
54.4247,28.6294,1.20507
54.5247,33.2865,1.19105
54.6257,37.9718,1.17861
54.7259,42.4323,1.16826
54.8257,46.6105,1.15969
54.9258,50.3683,1.1527
