Time,Manipulability,Error
70.3494,67.3096,0.863498
70.4493,67.8038,0.85848
70.5492,68.2544,0.853343
70.6491,68.6483,0.848343
70.7531,69.0299,0.843285
70.8621,69.4235,0.838878
70.9622,69.735,0.835504
71.0625,70.027,0.832116
71.1621,70.3014,0.828657
71.2622,70.5458,0.82475
71.3626,70.7571,0.821596
71.4622,70.9848,0.819026
71.5622,71.2086,0.816834
71.6635,71.3975,0.814504
71.7632,71.5505,0.811943
71.8644,71.6933,0.809367
71.9652,71.8447,0.806563
72.0652,71.9831,0.804266
72.1653,72.1059,0.802665
72.2653,72.2034,0.801595
72.3652,72.2816,0.800539
72.4672,72.3405,0.799234
72.5674,72.4029,0.797494
72.6703,72.4912,0.795791
72.7703,72.6099,0.794081
72.8746,72.2852,0.472587
72.9814,70.2833,0.411138
73.0835,68.3755,0.359329
73.1833,66.6088,0.332232
73.2832,64.9606,0.321623
73.3833,63.6695,0.320095
73.4833,62.686,0.320773
73.5833,61.7514,0.321975
73.6843,61.0207,0.324668
73.7883,60.3267,0.327637
73.8884,59.7375,0.330129
73.9897,59.1718,0.332311
74.0896,58.8345,0.334615
74.1934,58.6358,0.337455
74.2933,58.4802,0.339893
74.3946,58.363,0.342262
74.4944,58.2709,0.344109
74.5943,58.1888,0.34517
74.6944,58.1148,0.345515
74.7945,58.0301,0.345281
74.8945,57.9302,0.344655
74.9944,57.8491,0.344106
75.0944,57.7821,0.34393
75.1944,57.731,0.344109
75.2944,57.6881,0.344358
75.3947,57.6524,0.344751
75.4944,57.629,0.345285
75.5945,57.611,0.345948
75.6945,57.5898,0.346704
75.7945,57.5656,0.347296
75.8945,57.542,0.347818
75.9954,57.5192,0.348463
76.0955,57.495,0.349045
76.1958,57.472,0.349427
76.2955,57.4484,0.349654
76.3966,57.4309,0.349814
76.4965,57.4099,0.349993
76.5965,57.382,0.350084
76.6965,57.3464,0.35009
76.7975,57.3056,0.349853
76.898,57.2597,0.349537
76.9995,57.2142,0.349196
77.1005,57.1817,0.348942
77.2008,57.1648,0.348846
77.3015,57.1559,0.348816
77.4045,57.1477,0.348799
77.5045,57.1412,0.348815
77.6045,57.1343,0.348835
77.7046,57.1281,0.348862
77.8045,57.1213,0.348891
77.9125,55.0359,1.47523
78.0125,50.3809,1.46921
78.1126,44.8499,1.46187
78.2126,39.2005,1.454
78.3127,33.8305,1.44621
78.4136,29.0408,1.43881
78.5136,26.4947,1.4323
78.6136,24.4092,1.42683
78.7137,22.6029,1.42235
78.8136,21.0618,1.39766
78.9136,19.7867,1.366
79.0137,18.7466,1.34069
79.1136,17.9737,1.3212
79.2146,17.4014,1.30673
79.3146,16.952,1.29611
79.4166,16.5689,1.28852
79.5176,16.2349,1.28365
79.6176,15.937,1.28097
79.7176,15.672,1.28
79.818,15.415,1.28079
79.9177,15.1832,1.28265
80.0177,15.123,1.28305
80.1187,15.1981,1.28266
80.2199,15.3701,1.28192
80.32,15.6153,1.28119
80.4207,15.9281,1.28052
80.5217,16.2703,1.28031
80.6217,16.6229,1.2806
80.7217,17.0046,1.28109
80.8217,17.4778,1.28194
80.9217,18.0365,1.28309
81.0218,18.6104,1.28435
81.1218,19.2155,1.2858
81.2219,19.9032,1.28771
81.3218,20.5288,1.28948
81.4218,21.1636,1.29136
81.5217,21.8652,1.29358
81.6218,22.5498,1.29578
81.7218,23.2956,1.29829
81.8217,23.9631,1.3005
81.9217,24.6698,1.30291
82.0238,25.3981,1.30543
82.1241,26.146,1.30807
82.224,26.8749,1.31067
82.3238,27.5772,1.31321
82.4238,28.2875,1.31578
82.5238,28.9982,1.31836
82.6238,29.7182,1.32104
82.7238,29.9851,1.32373
82.8261,29.9856,1.43057
82.9312,32.0922,1.40496
83.0308,34.778,1.36935
83.1319,37.0495,1.33812
83.2319,39.0364,1.27978
83.3329,40.6176,1.1935
83.4342,41.8317,1.12396
83.5339,42.6468,1.06962
83.6339,43.2118,1.02582
83.7341,43.6495,0.991239
83.836,44.4477,0.95958
83.9359,45.7983,0.931977
84.037,47.9436,0.906487
84.137,50.6438,0.883235
84.2373,53.2983,0.86201
84.3369,55.1859,0.842817
84.4369,56.3739,0.824963
84.5389,57.189,0.808463
84.641,57.6654,0.79328
84.7413,58.0936,0.7801
84.8411,58.2878,0.767488
84.9409,58.3069,0.754859
85.0413,58.3182,0.742995
85.141,58.2306,0.731775
85.2412,57.9908,0.721159
85.341,57.8092,0.711553
85.442,57.5056,0.702209
85.544,57.091,0.692569
85.645,56.7174,0.684616
85.7492,56.2412,0.676682
85.849,55.7279,0.669172
85.9494,55.3359,0.662764
86.05,54.8319,0.656667
86.1504,54.2259,0.650364
86.254,53.7756,0.644824
86.354,53.3166,0.639548
86.4601,52.7309,0.6339
86.5604,52.3079,0.629693
86.6601,51.8414,0.625811
86.7601,51.3416,0.622119
86.8601,50.7172,0.618078
86.9604,50.2854,0.615138
