Time,Manipulability,Error
43.9765,72.3517,1.27163
44.0775,71.3671,1.25363
44.1775,70.5014,1.23759
44.2775,69.6044,1.22264
44.3815,68.6886,1.20908
44.4845,67.9544,1.19689
44.5845,67.2986,1.18683
44.6855,66.7241,1.1774
44.7855,66.2097,1.16783
44.8855,65.7382,1.15955
44.9936,65.3658,1.15143
